goos: linux
goarch: amd64
pkg: pkt.systems/lql
cpu: 13th Gen Intel(R) Core(TM) i7-1355U
BenchmarkMutateStreamNumericPathSynthetic/large_single_numeric/reuse_program/writer_stream/warmup_included-12             	       1	 294398039 ns/op	1578318376 B/op	  121333 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_single_numeric/reuse_program/writer_stream/steady_state-12                	       1	 294408997 ns/op	1578313728 B/op	  121316 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_single_numeric/reuse_program/writer_stream/steady_state-12                	       1	 303662415 ns/op	1578315056 B/op	  121320 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_single_numeric/reuse_program/writer_stream/steady_state-12                	       1	 324952015 ns/op	1578317184 B/op	  121352 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_single_numeric/reuse_program/callback_raw_json/warmup_included-12         	       1	 294068244 ns/op	1579419768 B/op	  121266 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_single_numeric/reuse_program/callback_raw_json/warmup_included-12         	       1	 292884734 ns/op	1579421480 B/op	  121298 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_single_numeric/reuse_program/callback_raw_json/warmup_included-12         	       1	 320960293 ns/op	1579422208 B/op	  121295 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_single_numeric/reuse_program/callback_raw_json/steady_state-12            	       1	 328207927 ns/op	1579417624 B/op	  121292 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_single_numeric/reuse_program/callback_raw_json/steady_state-12            	       1	 310754961 ns/op	1579415440 B/op	  121254 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_single_numeric/reuse_program/callback_raw_json/steady_state-12            	       1	 314121235 ns/op	1579414472 B/op	  121289 allocs/op
PASS
ok  	pkt.systems/lql	23.051s
